recordedBy,eventDate,scientificName,identifiedby,dateIdentified,associatedTaxa,reproductiveCondition,occurrenceRemarks,habitat,country,stateProvince,county,locality,locationRemarks,locationID,decimalLatitude,decimalLongitude,minimumElevationInMeters,permitURI,materialSampleID,materialSampleType,materialSample_catalogNumber,recordNumber-materialSample,storageLocation,disposition,numberCollected,numberAvailable,sourcePlantCount,preparationDate,dateStored,catalogNumber,recordNumber
Alex Seglias,8/15/2025,Physaria alpina,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Park,Horseshoe Mountain,,,,,,,,seed,123,123,,,45,45,10,8/16/2025,,123,123
Alex Seglias,8/15/2025,Physaria alpina,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Park,Horseshoe Mountain,,,,,,,,seed,124,124,,,22,22,10,8/16/2025,,124,124
Alex Seglias,8/15/2025,Physaria alpina,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Park,Horseshoe Mountain,,,,,,,,seed,125,125,,,34,34,10,8/16/2025,,125,125
Alex Seglias,8/15/2025,Physaria alpina,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Park,Horseshoe Mountain,,,,,,,,seed,126,126,,,87,87,10,8/16/2025,,126,126
Alex Seglias,8/15/2025,Physaria alpina,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Park,Horseshoe Mountain,,,,,,,,seed,127,127,,,15,15,10,8/16/2025,,127,127
Alex Seglias,8/15/2025,Physaria alpina,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Park,Horseshoe Mountain,,,,,,,,seed,128,128,,,102,102,10,8/16/2025,,128,128
Alex Seglias,8/15/2025,Physaria alpina,Alex Seglias,8/15/2025,,fruit,,,USA,Colorado,Park,Horseshoe Mountain,,,,,,,,seed,129,129,,,64,64,10,8/16/2025,,129,129
